player_name,team_name,shot_zone_basic,games_played,shot_attempts,shots_made,shooting_percentage,player_photo,team_logo
Nickeil Alexander-Walker,Minnesota Timberwolves,Mid-Range,82,34,14,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/1629638.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
Peyton Watson,Denver Nuggets,Mid-Range,80,34,14,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/1631212.png,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Tre Jones,San Antonio Spurs,Mid-Range,77,34,14,0.411764705882353,https://cdn.nba.com/headshots/nba/latest/1040x760/1630200.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg
Amir Coffey,Los Angeles Clippers,Right Corner 3,70,56,23,0.410714285714286,https://cdn.nba.com/headshots/nba/latest/1040x760/1629599.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Chris Paul,Golden State Warriors,Above the Break 3,58,168,69,0.410714285714286,https://cdn.nba.com/headshots/nba/latest/1040x760/101108.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Jordan Goodwin,Memphis Grizzlies,Restricted Area,57,56,23,0.410714285714286,https://cdn.nba.com/headshots/nba/latest/1040x760/1630692.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
Naz Reid,Minnesota Timberwolves,Right Corner 3,81,56,23,0.410714285714286,https://cdn.nba.com/headshots/nba/latest/1040x760/1629675.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
Payton Pritchard,Boston Celtics,Left Corner 3,82,56,23,0.410714285714286,https://cdn.nba.com/headshots/nba/latest/1040x760/1630202.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
Alex Caruso,Chicago Bulls,Above the Break 3,71,207,85,0.410628019323671,https://cdn.nba.com/headshots/nba/latest/1040x760/1627936.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Bojan Bogdanovic,Detroit Pistons,Above the Break 3,57,156,64,0.41025641025641,https://cdn.nba.com/headshots/nba/latest/1040x760/202711.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
Paul Reed,Philadelphia 76ers,Above the Break 3,82,39,16,0.41025641025641,https://cdn.nba.com/headshots/nba/latest/1040x760/1630194.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
